True Label,Predicted Label,Is Correct
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
lymphocyte,lymphocyte,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
basophil,basophil,✅
lymphocyte,lymphocyte,✅
eosinophil,eosinophil,✅
immature granulocytes,immature granulocytes,✅
eosinophil,eosinophil,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
monocyte,monocyte,✅
erythroblast,immature granulocytes,❌
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
monocyte,immature granulocytes,❌
basophil,immature granulocytes,❌
erythroblast,erythroblast,✅
monocyte,monocyte,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
basophil,basophil,✅
lymphocyte,immature granulocytes,❌
monocyte,monocyte,✅
platelet,platelet,✅
monocyte,immature granulocytes,❌
immature granulocytes,immature granulocytes,✅
eosinophil,eosinophil,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
eosinophil,eosinophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
lymphocyte,lymphocyte,✅
monocyte,monocyte,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
monocyte,immature granulocytes,❌
neutrophil,neutrophil,✅
basophil,basophil,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
immature granulocytes,immature granulocytes,✅
basophil,basophil,✅
basophil,basophil,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
neutrophil,immature granulocytes,❌
basophil,basophil,✅
basophil,basophil,✅
monocyte,monocyte,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
platelet,platelet,✅
basophil,basophil,✅
platelet,platelet,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
eosinophil,eosinophil,✅
immature granulocytes,immature granulocytes,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
erythroblast,erythroblast,✅
immature granulocytes,basophil,❌
erythroblast,erythroblast,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
monocyte,monocyte,✅
platelet,platelet,✅
platelet,platelet,✅
monocyte,monocyte,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
basophil,basophil,✅
monocyte,monocyte,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
platelet,platelet,✅
monocyte,monocyte,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
immature granulocytes,immature granulocytes,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
lymphocyte,lymphocyte,✅
platelet,platelet,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
monocyte,monocyte,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
basophil,basophil,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
platelet,platelet,✅
platelet,platelet,✅
platelet,platelet,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
platelet,platelet,✅
monocyte,monocyte,✅
immature granulocytes,immature granulocytes,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
platelet,platelet,✅
eosinophil,eosinophil,✅
platelet,platelet,✅
basophil,basophil,✅
neutrophil,neutrophil,✅
lymphocyte,lymphocyte,✅
neutrophil,neutrophil,✅
eosinophil,eosinophil,✅
basophil,basophil,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
immature granulocytes,immature granulocytes,✅
immature granulocytes,immature granulocytes,✅
basophil,basophil,✅
immature granulocytes,immature granulocytes,✅
immature granulocytes,immature granulocytes,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
eosinophil,eosinophil,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
lymphocyte,lymphocyte,✅
lymphocyte,lymphocyte,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
monocyte,monocyte,✅
immature granulocytes,immature granulocytes,✅
lymphocyte,lymphocyte,✅
eosinophil,eosinophil,✅
monocyte,immature granulocytes,❌
basophil,basophil,✅
erythroblast,erythroblast,✅
erythroblast,erythroblast,✅
platelet,platelet,✅
monocyte,monocyte,✅
eosinophil,eosinophil,✅
basophil,basophil,✅
platelet,platelet,✅
erythroblast,neutrophil,❌
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
neutrophil,neutrophil,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
lymphocyte,lymphocyte,✅
platelet,platelet,✅
lymphocyte,lymphocyte,✅
erythroblast,erythroblast,✅
erythroblast,erythroblast,✅
eosinophil,eosinophil,✅
monocyte,monocyte,✅
platelet,platelet,✅
lymphocyte,monocyte,❌
immature granulocytes,immature granulocytes,✅
lymphocyte,immature granulocytes,❌
erythroblast,erythroblast,✅
monocyte,monocyte,✅
platelet,platelet,✅
neutrophil,neutrophil,✅
monocyte,monocyte,✅
erythroblast,erythroblast,✅
platelet,platelet,✅
immature granulocytes,monocyte,❌
erythroblast,erythroblast,✅
basophil,basophil,✅
immature granulocytes,immature granulocytes,✅
erythroblast,erythroblast,✅
platelet,platelet,✅
immature granulocytes,immature granulocytes,✅
erythroblast,erythroblast,✅
neutrophil,neutrophil,✅
